Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2021-07-17,Happiness,1998,https://boxd.it/202rPF,3,,"dark comedy, philip seymour hoffman",2021-07-16
2021-07-17,The Devil Wears Prada,2006,https://boxd.it/203Dyt,4.5,,"anne hathaway, meryl streep, emily blunt, comedy",2021-07-16
2021-07-20,10 Cloverfield Lane,2016,https://boxd.it/20xRZj,4.5,,"john goodman, dan trachtenberg",2021-07-19
2021-07-21,Sound of Metal,2019,https://boxd.it/20HbrJ,2.5,,,2021-07-21
2021-07-22,(500) Days of Summer,2009,https://boxd.it/20LBux,4.5,,"zooey deschanel, joseph gordon-levitt",2021-07-21
2021-07-26,"Girl, Interrupted",1999,https://boxd.it/21qcDL,4,,"angelina jolie, winona ryder",2021-07-25
2021-07-26,Barbie: A Fashion Fairytale,2010,https://boxd.it/21s7kD,,Yes,,2021-07-26
2021-07-29,Little Miss Sunshine,2006,https://boxd.it/21PE61,4,,steve carell,2021-07-28
2021-07-31,In the Mood for Love,2000,https://boxd.it/222JLp,2.5,,,2021-07-30
2021-08-01,Hoop Dreams,1994,https://boxd.it/22eBP3,5,,,2021-07-31
2021-08-04,Thirteen,2003,https://boxd.it/22Gtqb,5,,,2021-08-03
2021-08-10,Following,1998,https://boxd.it/23BDvz,3.5,,christopher nolan,2021-08-09
2021-08-11,Fish Tank,2009,https://boxd.it/23IMOJ,3,,michael fassbender,2021-08-10
2021-08-13,The Night of the Hunter,1955,https://boxd.it/23YsjD,4,,,2021-08-12
2021-08-16,Successful Alcoholics,2010,https://boxd.it/24ugel,4,,lizzy caplan,2021-08-16
2021-08-16,Pretend That You Love Me,2020,https://boxd.it/24v1a1,5,,joel haver,2021-08-16
2021-08-18,I Want to Eat Your Pancreas,2018,https://boxd.it/24KYOT,1.5,,joanna,2021-08-17
2021-09-22,The Squid and the Whale,2005,https://boxd.it/29zuCr,4.5,,"jesse eisenberg, noah baumbach, hotdog3",2021-09-21
2021-10-20,The Girl from Hunan,1988,https://boxd.it/2dGGuT,3,,,2021-10-19
2021-10-23,Panic Room,2002,https://boxd.it/2eabDZ,3,,"david fincher, hotdog3",2021-10-22
2021-10-27,Squid Game,2021,https://boxd.it/2eK6fZ,5,,,2021-10-26
2021-11-14,Please Stand By,2017,https://boxd.it/2hFygX,,,,2021-11-13
2021-11-14,All Too Well: The Short Film,2021,https://boxd.it/2hFA9p,5,,,2021-11-13
2021-11-25,Kids,1995,https://boxd.it/2jjvnl,0.5,,"harmony korine, chloe sevigny",2021-11-24
2021-11-25,Spring Breakers,2012,https://boxd.it/2jkGAd,1,,harmony korine,2021-11-24
2021-11-27,Gummo,1997,https://boxd.it/2jAPM5,1,,"chloe sevigny, harmony korine",2021-11-26
2021-12-24,Amanda Knox,2016,https://boxd.it/2o3x7R,3.5,,,2021-12-23
2021-12-31,Licorice Pizza,2021,https://boxd.it/2pLREX,3.5,,"pta, alana haim, cooper hoffman, theatre, hotdog3",2021-12-30
2021-12-31,Mommy,2014,https://boxd.it/2pWgDv,4,,xavier dolan,2021-12-30
2022-01-05,The Lighthouse,2019,https://boxd.it/2rh2Mp,2.5,,"robert eggers, robert pattinson, willem dafoe",2022-01-04
2022-01-05,BlacKkKlansman,2018,https://boxd.it/2rhK05,5,,"spike lee, adam driver, john david washington",2022-01-04
2022-01-06,Girl 6,1996,https://boxd.it/2ruLLd,4,,spike lee,2022-01-05
2022-01-08,Red Rocket,2021,https://boxd.it/2rXKUr,5,,sean baker,2022-01-07
2022-01-12,"tick, tick...BOOM!",2021,https://boxd.it/2t3RfL,4,,"andrew garfield, lin-manuel miranda",2022-01-11
2022-01-14,X,2022,https://boxd.it/2tDuHz,,,,2022-01-13
2022-01-24,Frozen,2010,https://boxd.it/2vQzLb,1,,,2022-01-23
2022-02-05,The Fallout,2021,https://boxd.it/2yfpx7,3,,"jenna ortega, maddie ziegler",2022-02-04
2022-02-15,Tall Girl 2,2022,https://boxd.it/2A9cZj,0.5,,miramark,2022-02-15
2022-02-22,"Awake, a Dream from Standing Rock",2017,https://boxd.it/2BqRuf,1,,,2022-02-21
2022-02-26,King Richard,2021,https://boxd.it/2C5RTB,5,,will smith,2022-02-25
2022-02-28,The Worst Person in the World,2021,https://boxd.it/2CuxbT,4.5,,"hotdog3, hlaoudi",2022-02-27
2022-03-14,In the Heights,2021,https://boxd.it/2F6mkJ,3,,,2022-03-13
2022-03-15,After We Collided,2020,https://boxd.it/2FjJn3,1,,,2022-03-14
2022-03-16,Oldboy,2003,https://boxd.it/2Fva3B,4,,miramark,2022-03-16
2022-03-18,Fresh,2022,https://boxd.it/2FO9Ep,1,,"daisy edgar jones, miramark",2022-03-17
2022-03-20,The Guide,2014,https://boxd.it/2Gd5Wz,4,,,2022-03-20
2022-03-28,Monster,2003,https://boxd.it/2HJZNV,3.5,,"charlize theron, miramark",2022-03-28
2022-04-13,The Black Power Mixtape 1967-1975,2011,https://boxd.it/2Kt9h9,4,,,2022-04-12
2022-04-14,The Dropout,2022,https://boxd.it/2KyVTZ,5,,amanda seyfried,2022-04-13
2022-04-17,Everything Everywhere All at Once,2022,https://boxd.it/2LfBgf,5,,"theatre, hotdog3, hlaoudi",2022-04-17
2022-04-22,Everything Everywhere All at Once,2022,https://boxd.it/2Ma91l,5,Yes,"theatre, lilshartygirl, karina",2022-04-21
2022-04-29,Blackfish,2013,https://boxd.it/2NkXjj,5,,,2022-04-28
2022-04-30,Crush,2022,https://boxd.it/2Ns8Jh,2,,,2022-04-29
2022-05-14,Senior Year,2022,https://boxd.it/2Q1x4L,1,,miramark,2022-05-14
2022-05-15,Plus One,2019,https://boxd.it/2Qd7Z1,3,,,2022-05-15
2022-05-19,Dear Zachary: A Letter to a Son About His Father,2008,https://boxd.it/2QNoHF,5,,joanna,2022-05-18
2022-05-23,Petite Maman,2021,https://boxd.it/2RGsYZ,2.5,,theatre,2022-05-22
2022-05-27,Normal People,2020,https://boxd.it/2SqMY3,5,Yes,,2022-05-27
2022-05-30,The Girl from Plainville,2022,https://boxd.it/2SPRRL,3,,,2022-05-29
2022-06-09,Moonlight,2016,https://boxd.it/2UB4Fh,4.5,,,2022-06-08
2022-06-09,The Assistant,2019,https://boxd.it/2UFdrL,3,,,2022-06-08
2022-06-19,Good Mourning,2022,https://boxd.it/2Wn11t,2,,,2022-06-18
2022-06-24,It Happened One Night,1934,https://boxd.it/2XorDz,5,,"clark gable, Claudette Colbert, Frank Capra",2022-06-23
2022-06-28,The Handmaiden,2016,https://boxd.it/2YfB7f,3.5,Yes,"hotdog3, hlaoudi",2022-06-28
2022-06-30,Memento,2000,https://boxd.it/2YAXad,4,,christopher nolan,2022-06-29
2022-06-30,Sing,2016,https://boxd.it/2YC0Np,2,,,2022-06-30
2022-07-01,Lady Bird,2017,https://boxd.it/2YGtfz,5,Yes,greta gerwig,2022-06-30
2022-07-02,Requiem for a Dream,2000,https://boxd.it/2YTkMF,1.5,,"jared leto, miramark",2022-07-01
2022-07-03,Tully,2018,https://boxd.it/2Z5an5,3,,miramark,2022-07-02
2022-07-05,Pride & Prejudice,2005,https://boxd.it/2ZvU25,4.5,,"hlaoudi, hotdog3",2022-07-04
2022-07-06,A Raisin in the Sun,1961,https://boxd.it/2ZHjZj,4,Yes,danny glover,2022-07-05
2022-07-12,Turning Red,2022,https://boxd.it/30QZzT,3.5,,"theotj, miramark",2022-07-11
2022-07-13,Loving Vincent,2017,https://boxd.it/30Zrm5,4,,,2022-07-12
2022-07-13,Hot Girls Wanted,2015,https://boxd.it/314LnR,4,,,2022-07-12
2022-07-15,Scenes from a Marriage,1974,https://boxd.it/31rlk9,4,,,2022-07-14
2022-07-17,The Farewell,2019,https://boxd.it/31JRoD,4.5,Yes,"awkwafina, lulu wang, miramark, lilshartygirl",2022-07-16
2022-07-21,La Strada,1954,https://boxd.it/32GEuh,4.5,,"Giulietta Masina, Federico Fellini",2022-07-20
2022-07-24,Nope,2022,https://boxd.it/33jAhL,4,,"jordan peele, keke palmer, steven yeun, daniel kaluuya, theatre, miramark",2022-07-24
2022-07-26,Dear Evan Hansen,2021,https://boxd.it/33LPmn,3,,"ben platt, kaitlyn dever, colton ryan, amy adams",2022-07-25
2022-07-31,School of Rock,2003,https://boxd.it/34XEVJ,4.5,,jack black,2022-07-30
2022-08-04,Penelope,2006,https://boxd.it/35WnKB,3,,"james mcavoy, christina ricci, reese witherspoon",2022-08-03
2022-08-06,Get Out,2017,https://boxd.it/36fzqL,4.5,,"jordan peele, daniel kaluuya",2022-08-05
2022-08-15,Swiss Army Man,2016,https://boxd.it/38horv,5,,"paul dano, daniel radcliffe",2022-08-14
2022-08-16,Bodies Bodies Bodies,2022,https://boxd.it/38uJpr,2,,"pete davidson, theatre, hotdog3",2022-08-15
2022-09-11,Superbad,2007,https://boxd.it/3dkhlr,3,,"michael cera, jonah hill",2022-09-10
2022-09-26,Inequality for All,2013,https://boxd.it/3gdv0l,5,,,2022-09-25
2022-10-15,TÁR,2022,https://boxd.it/3kfct9,4,,,2022-10-15
2022-10-17,Life and Debt,2001,https://boxd.it/3kz0v3,4,,,2022-10-16
2022-10-23,The Prince & Me,2004,https://boxd.it/3lW7Jr,3,,,2022-10-23
2022-11-01,American Promise,2013,https://boxd.it/3nTGv7,4.5,,,2022-10-31
2022-11-01,Enron: The Smartest Guys in the Room,2005,https://boxd.it/3nU1Y5,4,,,2022-10-31
2022-11-05,Fantastic Mr. Fox,2009,https://boxd.it/3oIANL,4,,,2022-11-04
2022-11-10,The True Cost,2015,https://boxd.it/3pPDQr,3,,,2022-11-09
2022-11-21,The Last Song,2010,https://boxd.it/3s0JA5,3.5,,,2022-11-20
2022-11-23,Bones and All,2022,https://boxd.it/3syzf5,2,,"lilshartygirl, miramark, maggie, timotheechalamet, chloe sevigny",2022-11-23
2022-11-24,The Menu,2022,https://boxd.it/3sH5AP,4.5,,"anyataylorjoy, lilshartygirl, miramark, maggie",2022-11-23
2022-12-03,Atonement,2007,https://boxd.it/3uzd3B,3,,,2022-12-02
2022-12-06,God Forbid: The Sex Scandal That Brought Down a Dynasty,2022,https://boxd.it/3v9cYN,3,,,2022-12-05
2022-12-07,Keep This Between Us,2022,https://boxd.it/3vqgdP,3,,,2022-12-06
2022-12-09,Beautiful Boy,2018,https://boxd.it/3vMlFt,3.5,,"steve carell, timotheechalamet",2022-12-08
2022-12-10,Whiplash,2014,https://boxd.it/3vWGS9,5,,,2022-12-09
2022-12-13,One Flew Over the Cuckoo's Nest,1975,https://boxd.it/3wM7pv,5,,jack nicholson,2022-12-12
2022-12-22,Chungking Express,1994,https://boxd.it/3yNqNB,3.5,,,2022-12-21
2022-12-25,Dead Asleep,2021,https://boxd.it/3zJ8y5,3,,lilshartygirl,2022-12-24
2022-12-30,Little Women,2019,https://boxd.it/3BDIcZ,5,,"greta gerwig, florence pugh, saoirse ronan, timotheechalamet",2022-12-29
2023-01-05,Glass Onion,2022,https://boxd.it/3EfvpP,4,,"janelle monae, kate hudson, maddy cline, theotj, miramark",2023-01-04
2023-01-06,The Thinning,2016,https://boxd.it/3EzXzj,4,,logan paul,2023-01-05
2023-01-12,Babylon,2022,https://boxd.it/3GT2LZ,5,,"margot robbie, brad pitt, hlaoudi",2023-01-11
2023-01-28,Meshes of the Afternoon,1943,https://boxd.it/3LSJH5,3.5,,,2023-01-27
2023-01-30,The King of Staten Island,2020,https://boxd.it/3MIFU9,2.5,Yes,"pete davidson, bill burr",2023-01-29
2023-03-17,WALL·E,2008,https://boxd.it/3ZDbr9,,,harish,2023-03-16
2023-04-04,Fight Club,1999,https://boxd.it/44uA9L,5,,harish,2023-04-03
2023-04-09,Pearl,2022,https://boxd.it/45TwP3,5,,,2023-04-08
2023-04-23,BEEF,2023,https://boxd.it/49MvzZ,5,,,2023-04-23
2023-04-29,Into the Deep: The Submarine Murder Case,2020,https://boxd.it/4b8ITV,4,,,2023-04-28
2023-05-23,Boiling Point,2021,https://boxd.it/4hpf1N,5,,,2023-05-22
2023-06-05,La La Land,2016,https://boxd.it/4kCm4d,2,,,2023-06-04
2023-06-05,Where the Crawdads Sing,2022,https://boxd.it/4kCwrL,1,,"hannah, harish, hlaoudi",2023-06-04
2023-06-05,Missing,2023,https://boxd.it/4kD8KB,3.5,,harish,2023-06-04
2023-06-09,Spider-Man: Into the Spider-Verse,2018,https://boxd.it/4lVRP7,4.5,,harish,2023-06-09
2023-06-11,Spider-Man: Across the Spider-Verse,2023,https://boxd.it/4mnQL5,4.5,,"miramark, theotj, harish",2023-06-10
2023-06-11,Dirty Grandpa,2016,https://boxd.it/4mo9Ub,1,,harish,2023-06-10
2023-06-15,Past Lives,2023,https://boxd.it/4nlUQD,3.5,,"miramark, harish",2023-06-14
2023-06-18,The Purge: Anarchy,2014,https://boxd.it/4ojP2X,1.5,,"miramark, theotj",2023-06-17
2023-07-03,No Hard Feelings,2023,https://boxd.it/4sqVSF,4.5,,"jennifer lawrence, hotdog3, hlaoudi",2023-07-01
2023-07-21,Barbie,2023,https://boxd.it/4ybzlN,,,"miramark, lilshartygirl",2023-07-20
2023-08-04,Talk to Me,2022,https://boxd.it/4DKw6F,4,,lilshartygirl,2023-08-03
2023-08-05,Oppenheimer,2023,https://boxd.it/4E2CwF,3,,"hotdog3, keaton, sami",2023-08-04
2023-08-10,Talk to Me,2022,https://boxd.it/4FK3bJ,4.5,Yes,harish,2023-08-09
2023-08-13,Dune,2021,https://boxd.it/4GMnoB,2.5,,,2023-08-13
2023-08-13,Whoopi Goldberg: Direct from Broadway,1985,https://boxd.it/4GMFAl,5,,,2023-08-13
2023-08-14,Bama Rush,2023,https://boxd.it/4H52Vd,3,,,2023-08-13
2023-08-26,Rango,2011,https://boxd.it/4KN63p,4,,keaton,2023-08-25
2023-08-28,Theater Camp,2023,https://boxd.it/4LkmUP,5,,harish,2023-08-27
2023-08-28,Passages,2023,https://boxd.it/4LopHx,0.5,,harish,2023-08-27
2023-09-06,The Whale,2022,https://boxd.it/4O7N1X,4,,,2023-09-05
2023-09-13,Bottoms,2023,https://boxd.it/4Q8Axr,4.5,,,2023-09-12
2023-09-16,12 Angry Men,1957,https://boxd.it/4QVdqP,5,,,2023-09-15
2023-09-17,The Wolf of Wall Street,2013,https://boxd.it/4RjihL,3,,,2023-09-17
2023-09-18,"I, Tonya",2017,https://boxd.it/4RuiVX,5,,,2023-09-17
2023-09-26,Shiva Baby,2020,https://boxd.it/4TECgX,3,,,2023-09-25
2023-10-12,Elemental,2023,https://boxd.it/4YVfEh,3,,,2023-10-11
2023-10-16,Friday the 13th,1980,https://boxd.it/50lYnB,,,miramark,2023-10-13
2023-10-17,Encanto,2021,https://boxd.it/50HbYH,4,,,2023-10-16
2023-11-02,M3GAN,2022,https://boxd.it/5659rz,3.5,,,2023-11-01
2023-11-11,Inside Out,2015,https://boxd.it/58Ifi5,5,,,2023-11-10
2023-11-14,Oldboy,2003,https://boxd.it/59T5f7,5,Yes,keaton,2023-11-13
2023-11-15,Big Hero 6,2014,https://boxd.it/5aeuhf,2,,,2023-11-14
2023-11-24,Juno,2007,https://boxd.it/5cRWFb,4,Yes,,2023-11-23
2023-12-20,Who's Afraid of Virginia Woolf?,1966,https://boxd.it/5m3MIp,4,,,2023-12-19
2023-12-20,Talk to Me,2022,https://boxd.it/5m3X9b,5,Yes,manas,2023-12-19
2023-12-20,Elf,2003,https://boxd.it/5m8ydn,3,,,2023-12-19
2023-12-25,Parasite,2019,https://boxd.it/5on6P7,5,Yes,manas,2023-12-24
2023-12-26,Kicking and Screaming,1995,https://boxd.it/5oGiQJ,4,,,2023-12-25
2024-01-10,Saltburn,2023,https://boxd.it/5yjGMZ,4,,keaton,2024-01-09
2024-01-22,Poor Things,2023,https://boxd.it/5Enth7,4,,manas,2024-01-21
2024-01-22,Slumdog Millionaire,2008,https://boxd.it/5Envkn,4,,manas,2024-01-21
2024-02-11,Anyone But You,2023,https://boxd.it/5O6kHL,,,,2024-02-10
